text,tweet_type,lang
White men who mocked George Floyd‰Ûªs death at New Jersey protest have been disciplined after online backlash - The Washington Post https://t.co/Hr6Izsqibz,original,en
George Floyd died right before the 99th anniversary of the Tulsa Race Massacre. This photo essay spans the current protests ‰ÛÓ but the quotes paired with them span 100 years. https://t.co/HQpBin74Q7,original,en
Went to a pub and bought takeaway beers. 1 other person collecting food and he was obvs discussing with staff about George Floyd and questioning his background. Words were said by all. 1st time in a pub for booze in months and there was a fucking idiot there. #keeplockdown4ever,original,en
A Plan to Take the George Floyd Case to the U.N. Highlights a Decades-Old Tension Between Civil Rights and Human Rights - TIME https://t.co/jg7wRx9JIA via @GoogleNews,original,en
"The scale of the George Floyd protests reflects a rising rejection of racism itself, in America and in countries around the world https://t.co/lkWpnH9Vlf",original,en
Why Minneapolis Was the Breaking Point  https://t.co/LXY5kCvSCn,original,en
He wants to work to regain the trust of his customers.  Easy to say after the fact.  Owner Of Vince's Crabhouse Under Fire For Comments About Protests; Restaurants To Close For 9 Days https://t.co/pcPqTO90M5,original,en
"@HernandoSheriff, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/hsvjRsIoJq)  #BlackLivesMatter",original,en
It really doesn‰Ûªt matter what George Floyd did. Once you have him in handcuffs and on the ground he presents no threat so killing him is absurd. But let‰Ûªs not forget that all he did was be accused of using a counterfeit $20 bill. That‰Ûªs it.,original,en
"He made the choice, maybe he can resign and get another occupation that doesn‰Ûªt require a heart! NYPD cop whines that George Floyd protesters forced him into ‰Û÷horrible‰Ûª decision to kneel in solidarity https://t.co/gLtfz3C9JJ",original,en
This. _Ù÷Á_Ù_Â  Is what ignites movements like George Floyd's #BlackLivesMatter.  How disrespectful to all the lives lost in the public limelight !  #CollinsKhosa #AndriesTatane  FU Cele ! _Ù÷Á_Ù_Â  You are a lying despicable monster ! #ANC #Lies #Evil   https://t.co/ty3AMIonb0,original,en
Echoes of 1968 ‰ÛÒ History is repeated in protests at the death of George Floyd https://t.co/MqJP9uUCsX,original,en
The US is a fascist regime in the making https://t.co/2ird4DPaa7,original,en
"""Louisville police release #BreonnaTaylor incident report ‰ÛÒ it lists her injuries as ""none""  #JusticeForBreonnaTaylor #BlackLivesMatter #SayHerName",original,en
"A renowned ‰ÛÏgood cop‰Û says police abuse and corruption are like the coronavirus, infecting departments throughout the world. https://t.co/1EflpsQWjU",original,en
Hundreds gather at George Floyd memorial service in North Carolina https://t.co/qI8uRtYw1H via @upi,original,en
"Stand in global solidarity with #BlackLivesMatter! #Enoughisenough, join the fight to end police brutality and liberate Black people. No one is free until we are all free. #Icantbreathe #silenceisviolence https://t.co/vtLxvbXNYW",original,en
We knew.  Federal Arrests Show No Sign that Antifa Plotted Protests https://t.co/AWlotO2cym,original,en
"Michael Beckwith Talks About George Floyd's Death, Racism &amp; How To Fight... https://t.co/iU5TjQam7q via @YouTubelo",original,en
"We stand with the Black community &amp; unite in the rallying cry that #BlackLivesMatter. The deaths of George Floyd, Ahmaud Arbery, Breonna Taylor, &amp; others have brought necessary conversations to the forefront, addressing a painful history of injustice &amp; racism in our country. https://t.co/t4jwVrz8hO",original,en
"Looking for a way to take action against racism that you see? The attached article shows what Kpop fans did. For more ideas, be sure to check out the library's Google Site. https://t.co/PdtFwbHtIA",original,en
"If you haven't had a chance to view Monday night's virtual @HillsboroughGov board meeting, here's a summary. Meeting included police presentation, resolution denouncing George Floyd's killing, budget session, and ordinances related to COVID-19 measures. https://t.co/2cwkrYcJZR https://t.co/binjuhnMTg",original,en
"This is huge. IBM pulls out of facial recognition, fearing racial profiling and mass surveillance https://t.co/L4goeovlbx",original,en
WHITE COATS FOR BLACK LIVES: Doctors and nurses at Eskenazi and Riley hospitals in Indiana took to the streets to protest against the racial inequities they see in both the criminal justice and health care systems https://t.co/Dy8DnbaB4F https://t.co/8v5BdrIm1I,original,en
Absolutely disgusting. And a reminder of why this national reckoning we're experiencing is so necessary.  https://t.co/Eaz77DzuXG,original,en
It‰Ûªs sad that it took George Floyd to die for many white people to recognize that racism exist,original,en
"Dr. Cedric Burrows, assistant professor of English at @MarquetteU, discussed the role of protests. ""I think this is the peak of it in that people are saying, ‰Û÷You need to see us... there needs to be structural change, and we are going to get it.‰Ûª‰Û  https://t.co/MQehGtC7t1",original,en
_ÙÔÛCalifornia labor condemns police murder of George Floyd  https://t.co/ujLsNVrIRj @moorbey @TKOakCWL @mrdannyglover @GJEP123 @WomenStrike @Global_Sisterz @FreeWavesMedia @MsKweet,original,en
https://t.co/ksOQiArkIo  Trump refuses to protect the protesters while continuing to support #PoliceBrutality and the brutality by violent attacker's against #PeacefulProtesters #WorstPresidentEver #VoteOutHate #TrumpIsANationalDisgrace,original,en
"Teen who shot George Floyd video wasn‰Ûªt looking to be a hero, her lawyer says. #georgefloyd https://t.co/n5H7v7Bjyr https://t.co/H0w7VyZVZQ",original,en
i hate when people are like ‰ÛÏi wish george floyd never died. we wouldn‰Ûªt be where we are right now‰Û as if what happened to george floyd hasn‰Ûªt been happening for YEARS. y‰Ûªall are only just now having to witness the ugliness of police brutality,original,en
The murder of George Floyd was the result of inhumane police brutality that is perpetuated by a culture of white supremacy. Learn more via @benandjerrys: https://t.co/tck9ilq84L via @benandjerrys,original,en
"@CalCourts, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/sjTrUEI0W4)  #BlackLivesMatter",original,en
"I hope by now everyone realizes the importance of voting. Vote the representatives, the mayors, the governors, the PRESIDENTS, the judges, the police chiefs that are going to make change happen. Do your research and get your vote in. Your vote MATTERS. #BLM",original,en
"@CASOSvote, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/sjTrUEI0W4)  #BlackLivesMatter",original,en
"@ICRicardoLara, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/sjTrUEI0W4)  #BlackLivesMatter",original,en
i painted George Floyd :)   #BLM #BlackLivesMatter https://t.co/yspPnCk5GZ,original,en
"#ChanningTatum and #JamieFoxx payed respect to the #Floyd family by attending a memorial service for George Floyd, held in Houston, Texas. https://t.co/nDZpT6Nhbb",original,en
How has the Minneapolis Police Chief escaped blame in the #GeorgeFloyd fiasco? He was the best placed to spot Chauvin's brutality and stop it. He also made him a training officer for the next generation of cops. Chauvin is taking down 3 inexperienced rookies with him. #blm,original,en
Protests Are Being Held in Small Cities and Towns Across the U.S.‰ÛÓAnd Young People Are Leading the Charge  https://t.co/Z6mzynqeY2,original,en
Federal arrests show no sign that Antifa plotted protests.  https://t.co/PMMYP8V2Th,original,en
Race and social change ‰ÛÒ The power of protest and the legacy of George Floyd https://t.co/gMU3f5oLAs,original,en
"George Floyd -A Change Gon Come- Cover by Vo, SandyRedd, Slique Jay Adam... https://t.co/ck2GucETix via @YouTube",original,en
theeconomist _ÙÔä_Ù_George Floyd's legacy is the promise of social change to tackle racism in all its forms‰ÛÓit is too precious to waste. Our cover this week https://t.co/3mb2Pc1iHV #HistoryInTheMaking #BlackLivesMatter https://t.co/XqRfNyWWfd,original,en
People posting stories about George Floyd really got me hot. How y‰Ûªall bringing up something this man did in his past but not mad at all that he yet &amp; still got his life taken for NO REASON? I got time today. Plenty.,original,en
"Day 13: Pittsburgh is one of several hundred cities across America in their second week of daily demonstrations against police brutality and systemic racial injustice is. . . Sparked by the death of George Floyd, the protests in Pittsburgh have ranged fr‰Û_ https://t.co/1MVHw6fadR https://t.co/KYdMcPUILo",original,en
"I am really lost for words right now. My mind cant process how uneducated someone could possibly be. Have they not seen the videos of police attacking people for no reason. Literally people just peacefullyprotesting&amp;police throwing,hitting people with weapons&amp;shooting people #BLM https://t.co/Ba11SkA0tx",original,en
"@CALtGovernor, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/sjTrUEI0W4)  #BlackLivesMatter",original,en
Lady Antebellum waited years to change their name and it took George Floyd dying to do it. Nothing changed anything years prior but now they want to change their name ? To only abbreviate Antellebellum with A ? White people do the bare minimum and y‰Ûªall get hyped _Ùªã fuck that,original,en
"George Floyd the victim rasism fight has been made ""the World open it's eyes to the realities of racism""",original,en
"Just so everyone knows, one of the cops (Thomas Lane) involved with George Floyd‰Ûªs death is walking free because people donated to his GoFundMe. The man is being charged with second and third degree murder and is currently walking in our streets",original,en
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition https://t.co/8sHsIgsw1K via @Change,original,en
"HISTORY LESSON:  There was place where African Americans prospered.  They built successful businesses, schools, churches and were completely autonomous.  Then Whites burned down the town and killed off the people.  The End.   #BlackWallStreet  #Vote  https://t.co/NfFE7Mxfat",original,en
"These protests are not EXCLUSIVE to George Floyd. These protests are a representation of every single POC who was wrongfully murdered, brutalized, and even imprisoned for simply being a POC. They‰Ûªre not going to end until there is ‰ÛÏjustice for ALL‰Û.",original,en
POLICE BRUTALITY EXHIBIT 33: U.S. Park Police fired tear gas on protesters gathered outside the White House to demonstrate against police brutality in the wake of George Floyd's death. https://t.co/k70a9XkWjz 07 #FixThePolice,original,en
"While I saw snippets of the George Floyd video, watched a longer version of it last night to gain context and got another pit in my stomach, utterly embarrassing and disgusting. Also watch Ben Crump's eulogy, really powerful stuff.",original,en
i love our canadian pm he is an honest man of integrity and transparency. we should defund the police everywhere and all join BLM and denounce our white privilage. biden is far better than trump. i have to write this way now or twitter overlords will lock my account again shame,original,en
"Someone just told me that George Floyd deserved what had happened to him. If you have this kind of mentality, I don't want to affiliate with you.",original,en
Feeling rage and uncertainty over the killing of George Floyd? A mindfulness expert explains how to cope https://t.co/eco43fm1mi @Yahoo https://t.co/ydFUmNIZO6,original,en
People with disabilities lead hundreds in a more accessible protest against police violence in Milwaukee https://t.co/0PwLjupWAA via @journalsentinel,original,en
"Petition åá Demand justice for James Scurlock, killed by Omaha racist during George Floyd protest åá https://t.co/9vu3Fk8p72 https://t.co/zyEhX5eR46",original,en
Benicia City Council says it condemns death of George Floyd https://t.co/WGcVesD76A,original,en
Half of these images of injured police officers are not from recent Black Lives Matter protests https://t.co/qC58mIai1V via @FullFact,original,en
"Happy Thursday! I can't imagine that we have any followers like this, but just in case, we want to make unequivocally clear - if you support Trump, if you don't support the BLM movement, and if you support the police in their brutality against minorities, you're not welcome here.",original,en
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! https://t.co/2vgochSI5h via @Change,original,en
George Floyd's brother tells Congress 'he did not deserve to die over $20' https://t.co/Mp1zmC1vUJ,original,en
DEFUND THE FUCKING POLICE. FUCK REDNECKS TOO WHILE I GOT YALL ATTENTION. #blacklivesmatter,original,en
"@nygovcuomo, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/SCSAE2dR9i)  #BlackLivesMatter",original,en
Lying Trump and #TrumpHenchman Barr exposed...  Federal Arrests Show No Sign that Antifa Plotted Protests https://t.co/PZV8bAg6O6,original,en
It's about time the Heads of Police sat down with all their counterparts and brought policing back to serving the public with harsh penalties for racial profiling. As a white man I am sick of seeing all these videos of Police abusing their remit. PUBLIC SERVANTS #BLM @metpoliceuk,original,en
"In support of my Bronx community, I am offering free consultations to anyone affected during this time. Know we stand in solidarity not only with the Floyd family, but with POC across the nation. #blacklivesmatter #blm #bronxlawyer",original,en
"With Ms. Wanda Johnson-Mom of Oscar Grant, killed by police @ Fruitvale Bart Station. Ms. Johnson spoke @ the #BLM March organized by Mountain House #MoHoYouth. The Youthful, Sustained, Diverse &amp; Global Nature of this Movement gives me HOPE #WeWillBreathe #SayitLoudSaytheirNames https://t.co/sGxwgsO8Mo",original,en
Pakistani Truck Artist pays Homage to George FloydåÊ | sanafatimajourno #Floyd #BlackLivesMattter  https://t.co/UZOZbBPgYD,original,en
".@HERMusicx honors George Floyd with powerful new song ""I Can't Breathe""  https://t.co/jFctvwldUW",original,en
I CAN'T BREATHE !!!!!!! Those were his words before he was murdered. He cried out loud but the popo kept pressure on his neck. My heart bleeds _Ù÷__Ù÷__Ù÷__Ù÷_ Rest In Peace George Floyd I dedicate this song to you  BLACK LIVES‰Û_ https://t.co/xmfFp7MHii,original,en
are u joking they‰Ûªve been able@to crowdfund george floyd‰Ûªs literal RACIST MURDERER out of prison??? fuck this man fuck this!!!! what the fuck?,original,en
Defund the police! #BLM #DismantleWhiteSupremacy #PoliceBrutality #FreedomFighter,original,en
Let me just say i commented on like 25 peoples tweets trying to correct them about the George Floyd thing and not one of them said anything back and i noticed most all support Donald trump so i can see why they are so quick to believe everything they see,original,en
"""What we‰Ûªre seeing in scores of cities around the country is a sustained movement to protest, to defy curfews, to confront the police, to affirm the value of black life. That is striking and noteworthy..."" https://t.co/OD8plt4U0W",original,en
"Stand in global solidarity with #BlackLivesMatter! #Enoughisenough, join the fight to end police brutality and liberate Black people. No one is free until we are all free. #Icantbreathe #silenceisviolence https://t.co/o3aXReKcPx",original,en
"@SenGillibrand, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/SCSAE2dR9i)  #BlackLivesMatter",original,en
New plan. Take away money from the police and make a bigger queer eye squad. Every city gets one. #QueerEye  #DefundThePolice #BLM #Pride,original,en
"@FLDFS, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/SB308WZeMF)  #BlackLivesMatter",original,en
i‰Ûªm disgusted people actually donated to bail the cop out who murdered george floyd???? and these same people think that white supremacy isn‰Ûªt real. there‰Ûªs your proof.,original,en
"""When the police blatantly murder an American citizen, they must face the exact same punishment as everyone else."" Says, MPP member, Otis Buckley. ""they must treat all citizens as equal under the law."" https://t.co/KVP4zUcdsB  #PeoplesParty #EndSystemicRacism #BLM",original,en
How the far-right boogaloo movement is trying to hijack anti-racist protests for a race war https://t.co/OYmEgrnqXJ by @mehdirhasan,original,en
Love over Hate - sharing a video from the protest we had in my city last week where I shared about how to become an ally.  We talk more about this in this week's episode. Click here https://t.co/JWXaXnXVcs _Ù_¤ ‰ÊÛ ‰ÊÛ #podcast #blacklivesmatter #beingblack https://t.co/uTyQkJoXxK,original,en
"Stand in global solidarity with #BlackLivesMatter! #Enoughisenough, join the fight to end police brutality and liberate Black people. No one is free until we are all free. #Icantbreathe #silenceisviolence https://t.co/TaqJ6cQ2pW",original,en
"Milwaukee Journal Sentinel ""'A beautiful spark in the chaos': Local artists collaborate on a mural memorializing George Floyd, victims of police brutality"" https://t.co/uPOJhI6jLs",original,en
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! https://t.co/7mOEycKERB via @Change,original,en
@cbcradio please take a moment to connect with @CBCOntarioToday about today's broadcast. It was shocking to hear Police defend the murder of George Floyd while an RCMP officer referred to himself as a defender of the land. I'm sure they need support or guidance.,original,en
"Justice for George Floyd, Killed By Excessive Police Force https://t.co/VICxEiUytW",original,en
"@ICRicardoLara, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/Vs78Y7Fkzw)  #BlackLivesMatter",original,en
"@CAController, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/Vs78Y7Fkzw)  #BlackLivesMatter",original,en
So he was lying motionless on the ground surrounded by police who opened fire and shot the man 22 times - and the cops wanted immunity #OhHellNo https://t.co/rwk6ouesxz,original,en
"@CALtGovernor, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/Vs78Y7Fkzw)  #BlackLivesMatter",original,en
"@CAgovernor, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/Vs78Y7Fkzw)  #BlackLivesMatter",original,en
https://t.co/Bw6l7w0M68 Racism and Police Brutality in the UK towards Black People is an issue as well. #BlackLivesMatter #BlackLivesMatterUK #BLMUK #ukPOLICE #ukprotests #protests2020 #NoJusticeNoPeace #BlackTwitter #UKGovernment #JusticeForGeorgeFloyd #JusticeForBreonnaTaylor,original,en
HELLOOO y is one of the officers charged with George Floyd‰Ûªs death free?,original,en
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! https://t.co/prFk6PC16u via @Change,original,en
Trump‰Ûªs dangerous &amp; unhinged response to the George Floyd protests shows why he must be defeated in November. But Biden‰Ûªs policy proposals &amp; disturbing record on criminal justice suggests the era of resistance will have to continue w Biden as President https://t.co/YVpAy4QbM1,original,en
"During my 12 short years as a Police Officer working on the road, God was my camera. When body cams were brought in, I LOVED them. I am excited that our DA's Office is pushing for ALL New Mexico Police Officers to wear body cameras.  #BlackLivesMatter #AllLivesMatter",original,en
"@RepSusanDavis, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/Vs78Y7Fkzw)  #BlackLivesMatter",original,en
"To honour George Floyd, we must learn the lessons of the Lawrence inquiry | Matthew Ryder https://t.co/Lu8vNJkcBy",original,en
"@KamalaHarris, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/Vs78Y7Fkzw)  #BlackLivesMatter",original,en
via @NYTimes More lies by Potus. https://t.co/qmdrMO8FY7,original,en
"@SenFeinstein, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/Vs78Y7Fkzw)  #BlackLivesMatter",original,en
"George Floyd's Death: Statues of Colonial Figures Come Down in the UK, Belgium https://t.co/QYDtPpezX5  _ÙÔ",original,en
"More than 1,200 ex-Justice Department workers want Barr investigated after George Floyd protests https://t.co/m6bqudzKNP",original,en
#EnemyOfThePeople  Federal Arrests Show No Sign that Antifa Plotted Protests - The New York Times https://t.co/cS0mbLPlDf,original,en
